url,file_name,segment_number,bit_rate,file_size
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s56.m4s,BigBuckBunny_10s56.m4s,56,bunny_987061bps,1456816
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s57.m4s,BigBuckBunny_10s57.m4s,57,bunny_987061bps,1462863
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s58.m4s,BigBuckBunny_10s58.m4s,58,bunny_987061bps,1267319
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_987061bps/BigBuckBunny_10s59.m4s,BigBuckBunny_10s59.m4s,59,bunny_987061bps,671293
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s0.m4s,BigBuckBunny_10s0.m4s,0,bunny_88482bps,20
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s1.m4s,BigBuckBunny_10s1.m4s,1,bunny_88482bps,111685
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s2.m4s,BigBuckBunny_10s2.m4s,2,bunny_88482bps,117414
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s3.m4s,BigBuckBunny_10s3.m4s,3,bunny_88482bps,108616
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s4.m4s,BigBuckBunny_10s4.m4s,4,bunny_88482bps,121540
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s5.m4s,BigBuckBunny_10s5.m4s,5,bunny_88482bps,114184
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s6.m4s,BigBuckBunny_10s6.m4s,6,bunny_88482bps,108799
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s7.m4s,BigBuckBunny_10s7.m4s,7,bunny_88482bps,112317
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s8.m4s,BigBuckBunny_10s8.m4s,8,bunny_88482bps,108815
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s9.m4s,BigBuckBunny_10s9.m4s,9,bunny_88482bps,108825
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s10.m4s,BigBuckBunny_10s10.m4s,10,bunny_88482bps,98567
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s11.m4s,BigBuckBunny_10s11.m4s,11,bunny_88482bps,106270
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s12.m4s,BigBuckBunny_10s12.m4s,12,bunny_88482bps,115424
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s13.m4s,BigBuckBunny_10s13.m4s,13,bunny_88482bps,113102
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s14.m4s,BigBuckBunny_10s14.m4s,14,bunny_88482bps,113251
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s15.m4s,BigBuckBunny_10s15.m4s,15,bunny_88482bps,109951
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s16.m4s,BigBuckBunny_10s16.m4s,16,bunny_88482bps,103796
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s17.m4s,BigBuckBunny_10s17.m4s,17,bunny_88482bps,113677
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s18.m4s,BigBuckBunny_10s18.m4s,18,bunny_88482bps,111276
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s19.m4s,BigBuckBunny_10s19.m4s,19,bunny_88482bps,118600
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s20.m4s,BigBuckBunny_10s20.m4s,20,bunny_88482bps,107079
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s21.m4s,BigBuckBunny_10s21.m4s,21,bunny_88482bps,110582
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s22.m4s,BigBuckBunny_10s22.m4s,22,bunny_88482bps,121092
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s23.m4s,BigBuckBunny_10s23.m4s,23,bunny_88482bps,98814
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s24.m4s,BigBuckBunny_10s24.m4s,24,bunny_88482bps,108479
http://www-itec.uni-klu.ac.at/ftp/datasets/DASHDataset2014/BigBuckBunny/10sec/bunny_88482bps/BigBuckBunny_10s25.m4s,BigBuckBunny_10s25.m4s,25,bunny_88482bps,114743
